name,appid
trials evolution gold edition,220160
tropico 4,57690
tropico 5,245620
trove,304050
ultra street fighter iv,45760
undertale,391540
unturned,304930
valkyria chronicles,294860
vampire the masquerade  bloodlines,2600
wakfu,215080
war thunder,236390
warface,291480
warframe,230410
wargame european escalation,58610
wargame red dragon,251060
warhammer 40000 dawn of war  soulstorm,9450
warhammer 40000 dawn of war ii,15620
warhammer 40000 dawn of war ii  chaos rising,20570
warhammer 40000 space marine,55150
watchdogs,243470
wolfenstein the new order,201810
worms reloaded,22600
worms revolution,200170
xcom enemy unknown,200510
zombie panic source,17500
