user_id,name,rating,appid
151603712,Fallout 4,5,377160
87445402,Fallout 4,5,377160
211925330,Fallout 4,5,377160
115396529,Fallout 4,2,377160
4834220,Fallout 4,2,377160
65958466,Fallout 4,5,377160
91800733,Fallout 4,5,377160
43913966,Fallout 4,5,377160
64787956,Fallout 4,4,377160
68316900,Fallout 4,3,377160
48028873,Fallout 4,4,377160
131940023,Fallout 4,5,377160
89732768,Fallout 4,4,377160
115037563,Fallout 4,2,377160
13565651,Fallout 4,3,377160
65420540,Fallout 4,1,377160
101690993,Fallout 4,5,377160
53898495,Fallout 4,2,377160
77830706,Fallout 4,1,377160
76420334,Fallout 4,5,377160
45974860,Fallout 4,3,377160
39082468,Fallout 4,3,377160
24469287,Fallout 4,5,377160
39622853,Fallout 4,3,377160
111754806,Fallout 4,5,377160
99077905,Fallout 4,5,377160
9128105,Fallout 4,2,377160
12259303,Fallout 4,5,377160
77124916,Fallout 4,5,377160
2259650,Fallout 4,5,377160
59115473,Fallout 4,3,377160
233424343,Fallout 4,5,377160
71390526,Fallout 4,5,377160
234190577,Fallout 4,5,377160
98624963,Fallout 4,5,377160
183337134,Fallout 4,5,377160
110906645,Fallout 4,1,377160
298950,Fallout 4,5,377160
62878249,Fallout 4,5,377160
50801801,Fallout 4,1,377160
173940259,Fallout 4,3,377160
212570211,Fallout 4,1,377160
100351493,Fallout 4,3,377160
73518199,Fallout 4,5,377160
100311267,Fallout 4,1,377160
301299641,Fallout 4,2,377160
46637811,Fallout 4,5,377160
171067153,Fallout 4,5,377160
170460109,Fallout 4,4,377160
60859324,Fallout 4,5,377160
33282871,Fallout 4,1,377160
49893565,Fallout 4,5,377160
27262175,Fallout 4,1,377160
66464409,Fallout 4,3,377160
43684632,Fallout 4,3,377160
94269421,Fallout 4,1,377160
167302978,Fallout 4,1,377160
86055705,Fallout 4,5,377160
66255019,Fallout 4,5,377160
39037163,Fallout 4,5,377160
108007732,Fallout 4,2,377160
70408902,Fallout 4,2,377160
191126693,Fallout 4,5,377160
30699429,Fallout 4,2,377160
24721232,Fallout 4,5,377160
51085779,Fallout 4,5,377160
49462664,Fallout 4,4,377160
96588736,Fallout 4,4,377160
86469479,Fallout 4,2,377160
15196746,Fallout 4,5,377160
58435428,Fallout 4,3,377160
43446880,Fallout 4,5,377160
34919318,Fallout 4,1,377160
99264709,Fallout 4,4,377160
88035166,Fallout 4,5,377160
